,Pandemia de COVID-19,Pandemia de COVID-19.1,Pandemia de COVID-19.2
0,Casos por millón de habitantes[nota 1]​  Casos totales de COVID-19[nota 1]​,Casos por millón de habitantes[nota 1]​  Casos totales de COVID-19[nota 1]​,Casos por millón de habitantes[nota 1]​  Casos totales de COVID-19[nota 1]​
1,Profesionales médicos protegidos con EPI atienden a un paciente con COVID-19 en estado crítico,Profesionales médicos protegidos con EPI atienden a un paciente con COVID-19 en estado crítico,Profesionales médicos protegidos con EPI atienden a un paciente con COVID-19 en estado crítico
2,Agente patógeno,Agente patógeno,Agente patógeno
3,Patógeno,SARS-CoV-2,SARS-CoV-2
4,Tipo de patógeno,Coronavirus,Coronavirus
5,Enfermedad causada,COVID-19,COVID-19
6,Datos históricos,Datos históricos,Datos históricos
7,Inicio del contagio,"1 de diciembre de 2019 (2 años, 11 meses y 24 días)[1]​","1 de diciembre de 2019 (2 años, 11 meses y 24 días)[1]​"
8,Lugar de inicio,"Wuhan, China","Wuhan, China"
9,Nivel del contagio,Pandemia,Pandemia
10,Declaración de epidemia,30 de enero de 2020[2]​,30 de enero de 2020[2]​
11,Declaración de pandemia,"11 de marzo de 2020 (2 años, 8 meses y 14 días)[3]​","11 de marzo de 2020 (2 años, 8 meses y 14 días)[3]​"
12,Lugares afectados,260 países y territorios,260 países y territorios
13,Datos del contagio,Datos del contagio,Datos del contagio
14,Casos confirmados,644 811 948 (confirmados)[4]​,644 811 948 (confirmados)[4]​
15,Casos sospechosos,+1 000 000 000 casos[nota 2]​[5]​ 15-25 millones fallecidos (estimado)[6]​,+1 000 000 000 casos[nota 2]​[5]​ 15-25 millones fallecidos (estimado)[6]​
16,Fallecidos,6 632 629 (confirmados)[7]​,6 632 629 (confirmados)[7]​
17,Casos recuperados,623 637 606 (confirmados)[9]​,623 637 606 (confirmados)[9]​
18,Aviso médico,Aviso médico,Aviso médico
19,[editar datos en Wikidata],[editar datos en Wikidata],[editar datos en Wikidata]
